6th_run,1st_wicket,14th_over,2nd_wicket,final_score
35,1,126,6,185
36,3,125,4,178
30,1,127,5,182
33,3,112,6,183
36,3,113,5,164
38,3,119,5,184
40,2,130,4,188
40,2,114,5,177
38,1,122,6,174
37,2,123,6,190
37,1,111,5,182
30,1,128,6,187
30,2,110,6,189
36,2,116,6,162
35,2,115,4,173
34,2,119,5,164
40,2,112,4,167
30,2,118,6,174
30,3,112,5,162
39,2,126,6,176
34,2,110,4,185
33,3,120,6,181
33,1,125,6,171
40,2,110,4,190
32,3,122,6,177
34,1,122,4,189
36,3,118,5,160
34,3,122,6,182
32,3,110,4,164
36,3,126,4,182
35,1,115,6,188
31,3,128,6,161
34,1,113,6,167
33,1,111,6,185
36,1,121,5,177
39,3,115,4,190
36,3,126,6,172
35,2,129,4,179
35,3,110,4,187
40,2,128,5,173
37,1,113,5,161
38,2,112,4,186
34,3,129,6,166
35,3,128,4,188
34,3,117,5,188
36,1,112,6,171
40,3,110,6,175
31,2,116,5,178
31,3,124,4,163
33,3,111,6,172
35,1,116,5,182
33,3,126,5,174
39,3,118,4,178
35,2,130,5,164
30,1,128,6,176
32,1,118,5,187
39,3,124,5,177
30,2,121,6,185
40,1,120,6,179
33,2,130,6,182
35,2,117,6,170
31,3,124,5,162
40,1,122,5,185
32,3,111,4,164
37,1,118,6,160
30,2,115,5,178
34,3,124,6,180
40,3,111,6,181
31,2,120,5,185
38,2,130,5,168
39,1,123,4,190
39,1,119,4,178
36,3,129,4,178
35,3,111,6,167
36,3,123,4,183
30,2,126,5,163
35,2,128,4,164
33,1,129,4,165
31,2,112,6,170
32,2,118,5,177
33,3,113,6,170
35,2,124,4,176
33,1,114,5,160
38,2,125,6,162
37,2,117,6,163
34,2,129,4,190
40,2,127,4,188
33,2,116,5,175
30,3,128,6,169
35,2,129,5,173
35,2,128,6,190
39,2,114,4,180
38,1,118,6,160
34,1,122,5,185
33,3,130,6,161
35,1,120,6,162
37,3,129,4,187
31,2,124,4,168
35,1,124,6,180
30,2,129,6,180
35,2,121,4,186
40,2,130,4,186
39,3,117,6,188
36,3,113,5,168
33,1,115,4,182
36,2,128,6,179
32,3,117,5,188
32,2,117,6,175
38,1,127,4,175
32,2,116,5,174
35,3,122,5,163
31,1,126,4,175
38,1,128,5,170
32,3,112,6,174
31,3,128,5,174
34,2,125,6,189
40,2,111,6,179
35,2,124,6,184
30,1,126,5,184
37,2,126,5,171
40,2,113,6,187
33,1,127,5,169
39,2,129,4,167
39,3,116,5,186
30,3,114,5,180
40,1,122,4,160
34,3,115,4,184
30,3,116,4,160
38,3,127,4,172
30,2,129,4,169
32,3,128,6,189
33,3,115,5,170
31,3,126,4,166
37,2,130,5,187
37,2,110,5,165
34,2,129,5,183
35,1,110,6,171
35,3,124,6,171
31,1,127,5,173
37,3,124,5,174
37,3,112,6,187
30,1,130,6,189
37,2,122,5,177
37,3,125,4,173
36,2,116,5,167
31,1,123,5,172
40,2,119,4,168
36,2,117,5,189
34,2,125,6,163
33,2,124,5,176
40,2,114,6,161
34,3,117,4,181
32,1,110,6,164
33,1,110,6,185
36,3,124,5,187
31,1,123,4,168
36,3,110,5,171
35,1,120,6,162
33,3,119,4,164
38,2,126,4,186
31,1,112,5,162
34,1,129,4,168
30,1,121,4,176
37,3,119,4,187
31,1,111,4,172
34,3,126,6,179
36,1,128,6,188
39,2,119,4,184
34,3,116,6,173
36,2,129,4,164
32,1,115,4,175
31,1,117,4,186
33,1,128,6,171
38,3,126,4,165
40,2,125,4,184
33,3,115,4,174
30,1,112,5,162
30,3,122,4,183
38,3,127,6,181
38,3,123,6,166
39,1,112,6,178
36,1,121,6,179
32,3,123,6,164
35,2,123,5,173
38,2,112,6,178
38,3,122,5,185
38,2,126,4,187
65,1,164,4,212
50,2,148,3,216
69,2,146,3,216
60,2,150,3,196
56,2,150,4,209
59,1,159,3,211
60,1,150,3,205
56,2,152,4,205
69,2,157,4,209
68,1,143,4,202
58,2,162,4,201
58,1,169,3,203
66,1,147,4,217
69,1,154,3,214
52,1,144,3,199
55,2,165,3,210
53,1,148,4,219
57,2,167,3,194
70,1,151,3,196
51,1,145,4,201
69,2,142,4,219
64,2,157,3,210
65,1,164,3,212
64,1,152,4,197
57,1,169,4,210
61,1,148,3,196
70,2,161,3,198
66,1,164,3,194
62,2,142,4,198
67,2,156,3,217
63,2,153,4,212
54,2,167,4,209
60,1,155,4,196
65,1,160,4,193
64,2,145,3,195
67,2,148,3,203
56,1,144,3,192
70,2,157,3,201
65,2,167,4,214
60,2,149,4,195
69,1,169,4,193
59,2,145,3,194
70,1,158,3,209
60,1,150,4,209
70,1,163,4,200
54,2,151,3,212
65,1,142,4,212
52,1,147,4,198
50,1,144,3,210
54,2,160,4,191
50,2,143,3,194
70,1,150,4,190
60,1,158,3,199
50,2,157,3,212
51,2,152,3,210
54,1,154,3,205
51,2,142,4,198
70,2,151,4,203
56,2,169,4,209
51,2,169,3,191
52,1,148,4,201
70,1,170,3,215
57,1,141,3,192
56,2,142,3,196
70,2,141,4,203
64,1,162,4,204
57,1,148,3,218
69,2,147,4,195
54,1,145,4,200
70,1,164,3,211
67,1,147,4,190
65,2,154,4,192
66,1,151,3,216
61,2,151,3,219
59,2,156,4,197
67,1,155,4,207
54,2,157,4,205
65,1,157,3,201
63,1,148,4,201
63,2,143,4,193
67,1,157,3,216
61,2,164,3,209
51,1,165,3,218
50,2,158,4,217
50,1,147,3,216
63,2,147,3,197
51,1,164,4,205
69,1,150,4,197
65,2,163,4,190
64,2,169,3,201
51,2,153,4,207
58,2,145,4,212
67,1,142,3,214
70,2,148,3,190
51,2,165,4,202
60,1,163,3,206
69,1,156,4,204
64,2,162,3,207
54,2,155,3,198
53,2,159,4,203
62,1,160,4,193
54,2,146,4,191
68,2,146,3,199
56,2,161,4,211
66,1,151,4,217
61,1,160,3,191
60,2,166,4,195
53,1,159,4,209
64,2,143,3,217
59,2,165,4,195
62,1,164,4,218
60,1,150,3,217
66,1,165,3,199
60,1,161,4,193
56,2,152,4,220
68,1,140,3,211
59,2,151,4,202
63,1,152,4,197
58,2,152,4,201
66,2,159,4,209
70,2,162,4,211
53,2,161,3,216
65,2,160,3,198
63,2,149,3,216
51,1,151,3,195
66,1,151,4,198
52,1,159,4,197
56,1,168,4,203
58,2,144,3,191
54,1,145,3,197
53,2,159,3,207
56,1,149,4,209
55,2,155,4,191
54,1,143,4,220
62,1,155,4,215
52,2,169,4,211
58,2,141,4,202
51,2,151,3,193
69,2,145,4,213
65,2,170,4,198
53,1,165,4,206
55,2,145,3,220
62,1,154,4,197
69,2,161,3,218
65,2,152,4,208
69,1,149,3,199
54,1,163,3,192
65,2,141,3,216
66,1,166,4,201
65,1,151,4,216
67,1,166,3,212
57,2,160,3,206
54,2,161,4,216
57,1,160,4,199
53,1,162,3,195
64,1,157,4,194
50,2,166,3,190
53,2,165,3,199
62,2,158,3,200
52,2,151,3,192
64,2,151,4,205
67,2,155,3,198
53,1,160,4,205
64,2,163,4,206
51,1,150,3,202
60,1,145,3,202
53,1,151,3,199
54,2,144,3,198
50,1,156,3,206
50,2,146,3,214
51,1,144,4,204
56,2,168,4,199
63,1,162,3,208
55,1,150,4,218
60,2,157,3,205
67,1,166,3,198
65,2,143,4,210
54,1,154,3,191
52,2,158,4,206
51,2,170,4,216
61,1,164,4,217
61,2,168,4,215
55,2,161,4,205
58,2,150,3,204
67,1,148,4,205
53,2,160,4,210
61,2,151,3,192
54,1,170,3,201
60,1,150,4,202
65,2,160,3,220
59,1,150,3,220
57,2,155,4,213
52,1,164,3,220
60,2,164,4,217
68,1,168,4,194
65,1,148,4,195
57,1,165,4,190
51,2,170,4,196
69,1,170,3,196
58,2,165,3,218
53,1,161,4,218
54,1,159,4,213
54,1,144,3,200
54,1,168,4,194
65,1,168,3,191
56,1,153,4,207
53,2,149,4,209
67,2,142,4,218
61,1,170,3,199
58,1,166,4,217
60,2,160,3,197
64,2,148,3,202
58,2,147,3,200
57,1,145,3,207
55,1,164,4,217
52,1,170,4,215
61,1,167,3,196
51,2,157,3,190
66,1,152,3,201
56,2,140,3,212
51,2,166,4,219
55,2,155,4,208
51,2,151,4,197
59,1,142,4,214
55,2,148,3,199
62,1,149,4,201
53,1,145,3,197
67,2,157,4,205
67,1,151,3,211
60,2,166,3,205
50,2,148,4,205
65,1,163,3,202
65,1,153,3,199
56,1,147,4,214
65,1,167,4,200
53,2,153,4,196
54,2,150,4,204
